% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +3.718743479e+01 +3.718743479e+01 -5.525652149e-01 -5.525652149e-01 +3.9473e+00 +4.1290e-01
40 +2.453278180e+01 +2.453278180e+01 -1.320721820e+01 -1.320721820e+01 +1.9014e+00 +8.0711e-01
53 +1.212104248e+01 +1.212104248e+01 -2.561895752e+01 -2.561895752e+01 +2.5436e+00 -7.3826e-01
67 +7.754857676e+00 +7.754857676e+00 -2.998514232e+01 -2.998514232e+01 +1.3986e+00 +2.5217e-01
107 +4.119802034e+00 +4.119802034e+00 -3.362019797e+01 -3.362019797e+01 +1.6186e+00 +2.5217e-01
337 +3.980584403e+00 +3.980584403e+00 -3.375941560e+01 -3.375941560e+01 +1.5926e+00 +2.4617e-01
% function evaluation | noise-free fitness - Fopt (1.330200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.546720897e+01 +2.546720897e+01 +1.584872090e+02 +1.584872090e+02 -2.4611e+00 -1.0268e+00
13 +6.760282930e+00 +6.760282930e+00 +1.397802829e+02 +1.397802829e+02 -4.4846e+00 -2.2254e+00
115 +5.119664045e+00 +5.119664045e+00 +1.381396640e+02 +1.381396640e+02 -4.5205e+00 -2.2051e+00
224 +2.569962618e+00 +2.569962618e+00 +1.355899626e+02 +1.355899626e+02 -4.5083e+00 -1.8362e+00
% function evaluation | noise-free fitness - Fopt (-1.742300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.225233009e+02 +7.225233009e+02 +5.482933009e+02 +5.482933009e+02 -4.8874e+00 +1.3034e+00
8 +2.397956166e+01 +2.397956166e+01 -1.502504383e+02 -1.502504383e+02 +2.7692e+00 -3.4391e+00
50 +1.005923709e+01 +1.005923709e+01 -1.641707629e+02 -1.641707629e+02 +2.6671e+00 -3.3941e+00
105 +1.869442445e+00 +1.869442445e+00 -1.723605576e+02 -1.723605576e+02 +2.5099e+00 -2.7217e+00
218 +2.711715837e-01 +2.711715837e-01 -1.739588284e+02 -1.739588284e+02 +2.4166e+00 -3.0789e+00
270 +1.621648302e-01 +1.621648302e-01 -1.740678352e+02 -1.740678352e+02 +2.4327e+00 -3.0789e+00
312 +1.072325492e-01 +1.072325492e-01 -1.741227675e+02 -1.741227675e+02 +2.4240e+00 -3.0646e+00
346 +5.929549418e-02 +5.929549418e-02 -1.741707045e+02 -1.741707045e+02 +2.4409e+00 -3.0633e+00
429 +2.207399784e-02 +2.207399784e-02 -1.742079260e+02 -1.742079260e+02 +2.4308e+00 -3.0691e+00
452 +7.207411254e-03 +7.207411254e-03 -1.742227926e+02 -1.742227926e+02 +2.4458e+00 -3.0682e+00
492 +3.046918691e-03 +3.046918691e-03 -1.742269531e+02 -1.742269531e+02 +2.4416e+00 -3.0682e+00
969 +3.328943071e-04 +3.328943071e-04 -1.742296671e+02 -1.742296671e+02 +2.4415e+00 -3.0700e+00
1005 +9.230754350e-05 +9.230754350e-05 -1.742299077e+02 -1.742299077e+02 +2.4415e+00 -3.0694e+00
1010 +5.242905587e-06 +5.242905587e-06 -1.742299948e+02 -1.742299948e+02 +2.4415e+00 -3.0696e+00
1039 +3.484361656e-06 +3.484361656e-06 -1.742299965e+02 -1.742299965e+02 +2.4415e+00 -3.0696e+00
1190 +6.792873819e-07 +6.792873819e-07 -1.742299993e+02 -1.742299993e+02 +2.4417e+00 -3.0696e+00
1201 +2.751413035e-07 +2.751413035e-07 -1.742299997e+02 -1.742299997e+02 +2.4416e+00 -3.0696e+00
1204 +1.171367785e-07 +1.171367785e-07 -1.742299999e+02 -1.742299999e+02 +2.4416e+00 -3.0696e+00
1210 +5.498580435e-08 +5.498580435e-08 -1.742299999e+02 -1.742299999e+02 +2.4416e+00 -3.0696e+00
1275 +3.040923957e-09 +3.040923957e-09 -1.742300000e+02 -1.742300000e+02 +2.4416e+00 -3.0696e+00
% function evaluation | noise-free fitness - Fopt (6.380000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.794546762e+02 +4.794546762e+02 +4.858346762e+02 +4.858346762e+02 -8.7388e-01 -4.8187e+00
2 +3.108748779e+02 +3.108748779e+02 +3.172548779e+02 +3.172548779e+02 -3.5923e+00 -2.8496e+00
3 +1.056697813e+02 +1.056697813e+02 +1.120497813e+02 +1.120497813e+02 -1.0261e+00 -2.0927e-01
5 +7.197748355e+01 +7.197748355e+01 +7.835748355e+01 +7.835748355e+01 -2.3793e-01 +2.8217e-01
7 +3.769194142e+01 +3.769194142e+01 +4.407194142e+01 +4.407194142e+01 -1.2812e+00 +1.4776e+00
22 +1.993227570e+00 +1.993227570e+00 +8.373227570e+00 +8.373227570e+00 +4.8665e+00 +1.9304e+00
69 +1.414524464e+00 +1.414524464e+00 +7.794524464e+00 +7.794524464e+00 +4.8415e+00 +2.2363e+00
% function evaluation | noise-free fitness - Fopt (1.437000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.294435140e+01 +5.294435140e+01 +6.731435140e+01 +6.731435140e+01 -2.0519e+00 +3.1822e+00
11 +3.851309486e+01 +3.851309486e+01 +5.288309486e+01 +5.288309486e+01 -4.5352e+00 +2.4148e+00
20 +1.303846298e+01 +1.303846298e+01 +2.740846298e+01 +2.740846298e+01 -4.9122e+00 +1.3147e+00
82 +4.519601910e+00 +4.519601910e+00 +1.888960191e+01 +1.888960191e+01 -3.8661e+00 +1.2132e+00
161 +2.796686318e-01 +2.796686318e-01 +1.464966863e+01 +1.464966863e+01 -3.8237e+00 +1.9250e+00
201 +2.502778643e-01 +2.502778643e-01 +1.462027786e+01 +1.462027786e+01 -3.8262e+00 +1.9250e+00
269 +1.500570701e-01 +1.500570701e-01 +1.452005707e+01 +1.452005707e+01 -3.8815e+00 +1.9136e+00
284 +1.917508134e-02 +1.917508134e-02 +1.438917508e+01 +1.438917508e+01 -3.8597e+00 +1.9162e+00
488 +1.540303839e-02 +1.540303839e-02 +1.438540304e+01 +1.438540304e+01 -3.8593e+00 +1.9164e+00
940 +9.055960121e-03 +9.055960121e-03 +1.437905596e+01 +1.437905596e+01 -3.8604e+00 +1.9170e+00
% function evaluation | noise-free fitness - Fopt (-3.260000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.098492010e+01 +8.098492010e+01 +7.772492010e+01 +7.772492010e+01 -3.4934e+00 +2.8685e-01
3 +1.566881461e+01 +1.566881461e+01 +1.240881461e+01 +1.240881461e+01 +3.9038e+00 +1.4495e+00
89 +8.225579456e+00 +8.225579456e+00 +4.965579456e+00 +4.965579456e+00 +2.7867e+00 +1.5977e+00
98 +6.266325586e+00 +6.266325586e+00 +3.006325586e+00 +3.006325586e+00 +2.8533e+00 +9.5122e-01
215 +3.217961227e+00 +3.217961227e+00 -4.203877322e-02 -4.203877322e-02 +2.8598e+00 +1.6344e+00
265 +2.433523257e+00 +2.433523257e+00 -8.264767429e-01 -8.264767429e-01 +2.8483e+00 +1.3639e+00
% function evaluation | noise-free fitness - Fopt (-2.056200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.857885497e+02 +2.857885497e+02 +8.016854968e+01 +8.016854968e+01 -3.5128e+00 -3.7266e+00
2 +6.719520427e+01 +6.719520427e+01 -1.384247957e+02 -1.384247957e+02 -4.9006e+00 +2.4447e+00
5 +5.354092686e+01 +5.354092686e+01 -1.520790731e+02 -1.520790731e+02 +4.0563e+00 +2.8027e-01
6 +3.007589554e+01 +3.007589554e+01 -1.755441045e+02 -1.755441045e+02 +5.9383e-01 +4.7661e-01
14 +1.680599513e+01 +1.680599513e+01 -1.888140049e+02 -1.888140049e+02 -3.3814e+00 +1.5301e+00
38 +6.106375368e+00 +6.106375368e+00 -1.995136246e+02 -1.995136246e+02 -3.6844e-01 +8.6637e-01
80 +3.119342842e+00 +3.119342842e+00 -2.025006572e+02 -2.025006572e+02 -3.1971e-01 +1.1993e+00
207 +1.673708526e+00 +1.673708526e+00 -2.039462915e+02 -2.039462915e+02 -3.8386e-01 +1.5269e+00
247 +1.072354273e+00 +1.072354273e+00 -2.045476457e+02 -2.045476457e+02 -3.2907e-01 +1.5269e+00
383 +9.999071640e-01 +9.999071640e-01 -2.046200928e+02 -2.046200928e+02 -3.4223e-01 +1.5264e+00
% function evaluation | noise-free fitness - Fopt (2.877200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.352242090e+01 +2.352242090e+01 +3.112424209e+02 +3.112424209e+02 +1.9489e-02 -2.2670e+00
14 +7.195432869e+00 +7.195432869e+00 +2.949154329e+02 +2.949154329e+02 -2.8563e+00 -6.0065e-01
69 +4.572418272e+00 +4.572418272e+00 +2.922924183e+02 +2.922924183e+02 -2.7704e+00 -1.0278e+00
109 +3.398610978e+00 +3.398610978e+00 +2.911186110e+02 +2.911186110e+02 -2.8286e+00 -1.0278e+00
153 +1.989386976e+00 +1.989386976e+00 +2.897093870e+02 +2.897093870e+02 -2.7941e+00 -9.5427e-01
155 +1.096917314e+00 +1.096917314e+00 +2.888169173e+02 +2.888169173e+02 -2.8656e+00 -9.8823e-01
498 +9.964792715e-01 +9.964792715e-01 +2.887164793e+02 +2.887164793e+02 -2.8515e+00 -9.7615e-01
% function evaluation | noise-free fitness - Fopt (7.524000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.085421871e+02 +1.085421871e+02 +1.837821871e+02 +1.837821871e+02 +2.1572e-01 -1.8034e+00
5 +2.549792622e+01 +2.549792622e+01 +1.007379262e+02 +1.007379262e+02 -8.7705e-02 +4.1957e-01
22 +1.535431063e+01 +1.535431063e+01 +9.059431063e+01 +9.059431063e+01 -3.9488e+00 +6.5437e-01
81 +3.906863492e+00 +3.906863492e+00 +7.914686349e+01 +7.914686349e+01 -2.9059e+00 +1.1207e+00
120 +1.632887308e+00 +1.632887308e+00 +7.687288731e+01 +7.687288731e+01 -2.7976e+00 +1.0797e+00
142 +1.342215157e+00 +1.342215157e+00 +7.658221516e+01 +7.658221516e+01 -2.8713e+00 +1.0975e+00
