% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
160 +1.367453729e+03 +1.367453729e+03 +1.364193729e+03 +1.364193729e+03
% function evaluation | noise-free fitness - Fopt (-2.056200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.120260036e+03 +4.120260036e+03 +3.914640036e+03 +3.914640036e+03
5 +2.548937549e+03 +2.548937549e+03 +2.343317549e+03 +2.343317549e+03
19 +2.338545947e+03 +2.338545947e+03 +2.132925947e+03 +2.132925947e+03
82 +1.518929512e+03 +1.518929512e+03 +1.313309512e+03 +1.313309512e+03
% function evaluation | noise-free fitness - Fopt (2.877200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.845552050e+03 +2.845552050e+03 +3.133272050e+03 +3.133272050e+03
35 +2.171029115e+03 +2.171029115e+03 +2.458749115e+03 +2.458749115e+03
37 +1.303607105e+03 +1.303607105e+03 +1.591327105e+03 +1.591327105e+03
82 +9.709246427e+02 +9.709246427e+02 +1.258644643e+03 +1.258644643e+03
% function evaluation | noise-free fitness - Fopt (7.524000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.436251540e+04 +1.436251540e+04 +1.443775540e+04 +1.443775540e+04
2 +4.123530980e+03 +4.123530980e+03 +4.198770980e+03 +4.198770980e+03
10 +3.656904472e+03 +3.656904472e+03 +3.732144472e+03 +3.732144472e+03
13 +2.168544933e+03 +2.168544933e+03 +2.243784933e+03 +2.243784933e+03
89 +1.457159592e+03 +1.457159592e+03 +1.532399592e+03 +1.532399592e+03
