% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.947427355e+08 +9.947427355e+08 +9.947421144e+08 +9.947421144e+08 +2.8145e+00 +1.5981e+00 -5.7411e-01 +2.6867e+00 +1.7539e+00 -2.6094e+00 -5.3369e-01 +4.4790e+00 +3.0431e+00 +2.9124e+00 +2.3942e-01 +3.7440e+00 +1.0685e+00 -9.8276e-01 -3.7158e+00 +4.9185e-01 +1.7552e+00 -1.1151e+00 -4.6102e+00 +3.1494e+00
3 +2.756166496e+08 +2.756166496e+08 +2.756160285e+08 +2.756160285e+08 +3.8284e+00 +4.1700e+00 -3.5780e-01 -2.7248e+00 -1.6220e+00 -3.1688e+00 -3.8284e+00 -8.8919e-01 +4.2745e+00 -2.6033e+00 -3.2213e+00 +1.2335e+00 +3.2889e+00 +1.6252e+00 +2.8711e+00 -1.9036e+00 +4.6808e-01 +6.8589e-01 +4.7260e-01 -2.1991e+00
22 +1.726601226e+08 +1.726601226e+08 +1.726595015e+08 +1.726595015e+08 +2.2425e+00 +3.1351e+00 +1.7277e+00 -3.9364e+00 -3.0493e+00 -1.6532e+00 +4.0362e+00 +3.5038e+00 -2.3807e+00 -1.8235e+00 -4.2804e+00 +4.8711e+00 +3.4108e+00 -8.8940e-01 -3.8898e-01 -2.6534e+00 +3.8562e+00 -2.1744e+00 +4.0803e-01 +1.8621e+00
43 +1.308116363e+08 +1.308116363e+08 +1.308110152e+08 +1.308110152e+08 +2.8412e+00 +3.6507e+00 -1.8136e-01 -3.6858e+00 -1.6795e+00 -2.0615e+00 -1.4573e+00 -6.4100e-01 +2.7583e+00 -2.1017e+00 -3.6378e+00 +1.6808e+00 +3.3959e+00 -1.1884e-01 +1.0533e+00 -2.2000e+00 +2.8847e+00 -4.9770e-01 +4.3777e-01 -1.7638e+00
98 +6.902782623e+07 +6.902782623e+07 +6.902720512e+07 +6.902720512e+07 +3.5918e+00 +2.0989e+00 +1.5890e+00 -2.8234e+00 -4.0293e-01 -1.3801e+00 +1.2368e-02 +2.5323e+00 -1.4016e+00 -8.2884e-01 +1.0442e+00 +3.2959e+00 +2.1293e+00 -6.2269e-01 +1.2782e+00 -3.1669e+00 +1.2025e+00 +1.2369e-01 +3.7032e-01 +3.7042e-01
154 +5.675981123e+07 +5.675981123e+07 +5.675919012e+07 +5.675919012e+07 +1.0761e+00 +2.1816e+00 +1.6278e+00 -2.9374e+00 -2.8316e-01 -1.3734e+00 +1.4263e+00 +6.1917e-01 -1.4913e+00 -7.0126e-01 +1.4556e+00 +3.2862e+00 +2.0068e+00 +6.1728e-01 -2.5249e-02 -2.6466e+00 -2.8414e-01 +1.8228e-01 +9.8467e-01 +6.2655e-01
480 +3.898796852e+07 +3.898796852e+07 +3.898734741e+07 +3.898734741e+07 +1.8515e+00 +2.2509e+00 +1.6183e+00 -2.7375e+00 -3.1235e-01 -1.3372e+00 +1.3586e+00 +1.5893e+00 -1.4949e+00 -8.9790e-01 +1.4268e+00 +3.4136e+00 +2.3908e+00 +4.3026e-01 +1.6827e+00 -2.9801e+00 +7.1560e-01 +6.1626e-01 +9.1187e-01 +7.6818e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.025972262e+08 +5.025972262e+08 +5.025969714e+08 +5.025969714e+08 +1.9570e+00 -6.9543e-01 -3.1810e+00 +1.0784e+00 -2.3489e+00 +7.2655e-01 +1.8755e-01 +4.8977e+00 +3.0803e+00 -3.7576e+00 -4.0676e+00 +1.9281e+00 +1.2808e+00 -8.3201e-01 -1.9130e-01 -3.1903e+00 +4.1811e+00 -3.1199e+00 -1.3810e+00 +1.9173e-01
24 +2.966599856e+08 +2.966599856e+08 +2.966597308e+08 +2.966597308e+08 +4.2465e+00 +4.7462e+00 -1.4077e+00 +3.9692e+00 -2.6791e+00 -1.3560e+00 -1.8257e+00 +1.1769e+00 +3.4384e+00 +2.4774e+00 -3.9896e+00 -4.7431e-01 +8.8420e-01 -4.7356e+00 -2.1727e+00 -4.1765e+00 +4.4914e+00 +8.2160e-01 -7.6525e-01 -4.7533e+00
