% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.839024637e+02 +4.839024637e+02 +5.633824637e+02 +5.633824637e+02
4 +2.770941159e+02 +2.770941159e+02 +3.565741159e+02 +3.565741159e+02
53 +2.503017417e+02 +2.503017417e+02 +3.297817417e+02 +3.297817417e+02
150 +1.539417482e+02 +1.539417482e+02 +2.334217482e+02 +2.334217482e+02
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.300981504e+02 +6.300981504e+02 +1.024578150e+03 +1.024578150e+03
41 +3.883430108e+02 +3.883430108e+02 +7.828230108e+02 +7.828230108e+02
170 +2.460803673e+02 +2.460803673e+02 +6.405603673e+02 +6.405603673e+02
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.979306617e+02 +5.979306617e+02 +3.508206617e+02 +3.508206617e+02
2 +3.658805300e+02 +3.658805300e+02 +1.187705300e+02 +1.187705300e+02
43 +2.431510175e+02 +2.431510175e+02 -3.958982483e+00 -3.958982483e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.135843489e+02 +6.135843489e+02 +4.615443489e+02 +4.615443489e+02
10 +3.782494736e+02 +3.782494736e+02 +2.262094736e+02 +2.262094736e+02
59 +1.891803632e+02 +1.891803632e+02 +3.714036319e+01 +3.714036319e+01
126 +1.499998258e+02 +1.499998258e+02 -2.040174217e+00 -2.040174217e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.885496876e+02 +4.885496876e+02 +4.632996876e+02 +4.632996876e+02
6 +3.552414110e+02 +3.552414110e+02 +3.299914110e+02 +3.299914110e+02
46 +2.356398790e+02 +2.356398790e+02 +2.103898790e+02 +2.103898790e+02
123 +1.421999054e+02 +1.421999054e+02 +1.169499054e+02 +1.169499054e+02
% function evaluation | noise-free fitness - Fopt (1.347300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.020780316e+02 +5.020780316e+02 +6.368080316e+02 +6.368080316e+02
7 +3.727315065e+02 +3.727315065e+02 +5.074615065e+02 +5.074615065e+02
56 +2.206900274e+02 +2.206900274e+02 +3.554200274e+02 +3.554200274e+02
299 +1.581743748e+02 +1.581743748e+02 +2.929043748e+02 +2.929043748e+02
% function evaluation | noise-free fitness - Fopt (1.520000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.680074811e+02 +7.680074811e+02 +7.695274811e+02 +7.695274811e+02
2 +5.154089597e+02 +5.154089597e+02 +5.169289597e+02 +5.169289597e+02
30 +3.515531349e+02 +3.515531349e+02 +3.530731349e+02 +3.530731349e+02
60 +2.497671093e+02 +2.497671093e+02 +2.512871093e+02 +2.512871093e+02
% function evaluation | noise-free fitness - Fopt (4.530000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.097410335e+02 +5.097410335e+02 +5.550410335e+02 +5.550410335e+02
24 +3.621982903e+02 +3.621982903e+02 +4.074982903e+02 +4.074982903e+02
41 +2.503606508e+02 +2.503606508e+02 +2.956606508e+02 +2.956606508e+02
% function evaluation | noise-free fitness - Fopt (-1.605700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.878869037e+02 +4.878869037e+02 +3.273169037e+02 +3.273169037e+02
5 +3.743734096e+02 +3.743734096e+02 +2.138034096e+02 +2.138034096e+02
47 +2.392035779e+02 +2.392035779e+02 +7.863357794e+01 +7.863357794e+01
% function evaluation | noise-free fitness - Fopt (-2.916100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.451183702e+02 +5.451183702e+02 +2.535083702e+02 +2.535083702e+02
2 +3.314174639e+02 +3.314174639e+02 +3.980746390e+01 +3.980746390e+01
42 +2.242210387e+02 +2.242210387e+02 -6.738896128e+01 -6.738896128e+01
205 +1.568267970e+02 +1.568267970e+02 -1.347832030e+02 -1.347832030e+02
% function evaluation | noise-free fitness - Fopt (-8.736000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.875268460e+02 +5.875268460e+02 +5.001668460e+02 +5.001668460e+02
4 +3.164539699e+02 +3.164539699e+02 +2.290939699e+02 +2.290939699e+02
58 +2.454652758e+02 +2.454652758e+02 +1.581052758e+02 +1.581052758e+02
474 +1.568760351e+02 +1.568760351e+02 +6.951603506e+01 +6.951603506e+01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.180589307e+02 +6.180589307e+02 +1.618058931e+03 +1.618058931e+03
43 +3.969061248e+02 +3.969061248e+02 +1.396906125e+03 +1.396906125e+03
85 +2.287201256e+02 +2.287201256e+02 +1.228720126e+03 +1.228720126e+03
290 +1.578039790e+02 +1.578039790e+02 +1.157803979e+03 +1.157803979e+03
% function evaluation | noise-free fitness - Fopt (2.887300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.206966036e+02 +3.206966036e+02 +6.094266036e+02 +6.094266036e+02
41 +2.047005879e+02 +2.047005879e+02 +4.934305879e+02 +4.934305879e+02
% function evaluation | noise-free fitness - Fopt (-3.046000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.529740456e+02 +5.529740456e+02 +5.225140456e+02 +5.225140456e+02
41 +3.709219934e+02 +3.709219934e+02 +3.404619934e+02 +3.404619934e+02
125 +2.472068804e+02 +2.472068804e+02 +2.167468804e+02 +2.167468804e+02
% function evaluation | noise-free fitness - Fopt (-1.184600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.175557514e+02 +5.175557514e+02 +3.990957514e+02 +3.990957514e+02
42 +3.839502395e+02 +3.839502395e+02 +2.654902395e+02 +2.654902395e+02
168 +2.432642195e+02 +2.432642195e+02 +1.248042195e+02 +1.248042195e+02
