% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.624818492e+03 +4.624818492e+03 +4.162728492e+03 +4.162728492e+03 -4.0368e+00 +4.8549e-01 -4.4740e-02 +4.0675e+00 +4.1608e+00 -3.2791e+00 +7.7532e-01 -4.1749e-02 +3.4274e+00 +1.4407e+00 -4.3599e+00 -1.6174e+00 +1.5913e+00 +1.5248e+00 +2.7882e+00 +3.8257e+00 -3.1806e+00 -1.9805e+00 -2.0279e+00 +4.5294e+00
3 +1.140886601e+03 +1.140886601e+03 +6.787966010e+02 +6.787966010e+02 -2.5835e+00 +3.5418e+00 -4.8062e+00 +4.6033e+00 +1.6501e+00 -1.2164e+00 -2.0499e+00 -4.4322e+00 +1.5119e+00 +5.4828e-01 +2.6633e+00 -1.8746e+00 -3.8432e+00 -4.0642e+00 -4.5348e+00 +1.8463e+00 -4.0335e-01 +2.3548e+00 +5.0464e-01 +4.9240e+00
54 +9.326296361e+02 +9.326296361e+02 +4.705396361e+02 +4.705396361e+02 -3.9279e+00 -1.8390e+00 -3.2453e+00 +4.0775e+00 +8.0845e-01 -1.2267e+00 -1.1719e+00 -2.3120e+00 -4.1937e+00 -2.3588e+00 +4.8130e-01 -1.6237e+00 -1.0839e+00 -1.9200e+00 -3.9970e+00 +6.1057e-01 -7.7285e-01 +9.4235e-01 +1.1840e+00 -5.0318e-01
92 +5.952506148e+02 +5.952506148e+02 +1.331606148e+02 +1.331606148e+02 -2.0141e+00 +4.4657e+00 -4.7608e-02 +2.9792e+00 +1.3901e+00 -1.7437e+00 -8.4571e-02 -2.8856e+00 +1.4185e+00 +1.8708e+00 +2.1683e+00 -1.4744e+00 -1.9177e+00 -3.3068e+00 -1.8734e+00 -5.0970e-01 -8.5162e-01 +2.0583e+00 +2.3611e+00 +3.7707e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.278282267e+02 +7.278282267e+02 +8.054882267e+02 +8.054882267e+02 -3.8678e+00 -3.2347e+00 +4.1862e-01 +2.3249e+00 -1.3923e+00 -1.2053e+00 -2.1354e+00 +7.9338e-04 +6.6726e-01 -2.4771e+00 +6.7121e-01 -8.5302e-01 -2.1191e+00 +1.7910e+00 -3.1001e+00 -3.1632e+00 +1.6466e-01 -3.8042e+00 +1.3895e+00 -3.5877e+00
52 +6.062440969e+02 +6.062440969e+02 +6.839040969e+02 +6.839040969e+02 +9.4930e-01 -2.1796e+00 +9.2330e-01 -2.4833e+00 +3.8282e-01 -1.2064e+00 -2.0178e+00 -3.4535e-01 +3.9879e-01 -7.9685e-01 -2.4139e+00 +1.9843e-01 -1.9759e+00 +1.2476e+00 +2.7989e+00 -2.2772e+00 +3.8850e-01 -2.9815e+00 +1.2305e+00 -3.7215e+00
202 +3.972925283e+02 +3.972925283e+02 +4.749525283e+02 +4.749525283e+02 -2.2106e+00 -2.8331e+00 -2.2132e-01 +3.3834e-02 +1.6198e+00 -1.1336e+00 -1.3923e+00 -2.6973e-01 -3.2174e+00 -3.3094e+00 +2.4300e+00 -2.4535e-01 -7.6433e-01 +1.0461e+00 -7.0308e-01 -5.3468e-01 -5.1932e-02 -2.7006e+00 +9.5275e-01 -3.6581e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.796390856e+03 +8.796390856e+03 +8.912070856e+03 +8.912070856e+03 +4.7432e+00 +3.9368e+00 -2.8120e+00 -1.5818e+00 +3.5824e+00 +8.9895e-01 +4.7543e+00 +1.6760e-01 +1.4425e+00 +4.5562e+00 +4.2728e+00 -1.5848e+00 -4.4860e+00 +3.3181e+00 -3.1741e+00 -1.4461e-02 +3.5390e+00 +1.9392e+00 +1.2911e+00 -3.5385e+00
2 +1.109672333e+03 +1.109672333e+03 +1.225352333e+03 +1.225352333e+03 +1.3616e+00 -3.5850e+00 -4.4287e+00 +3.3387e-01 -5.0302e-01 -3.9437e+00 +2.5569e+00 +9.3124e-01 -2.9197e+00 +4.2934e+00 -3.7424e-01 -3.5862e+00 +2.0195e+00 -1.7228e+00 -1.4481e+00 +3.3409e+00 -3.3232e+00 +2.6397e-01 -6.7446e-01 -3.2237e+00
7 +9.985203756e+02 +9.985203756e+02 +1.114200376e+03 +1.114200376e+03 +2.5157e+00 +3.2829e+00 -3.8762e+00 -4.7644e+00 +2.4071e+00 +1.0492e-01 -3.1956e+00 -1.9501e+00 +3.6131e+00 -4.2209e+00 +3.1688e+00 -3.3450e+00 +2.3090e+00 -1.7735e-02 -1.8701e+00 +1.6814e+00 +3.8750e-02 -2.5711e+00 +5.8023e-01 +7.7070e-01
122 +6.009505038e+02 +6.009505038e+02 +7.166305038e+02 +7.166305038e+02 +1.4506e+00 +9.2159e-01 -3.0514e+00 -3.7608e+00 +1.7566e+00 +9.6260e-01 -2.1445e+00 +3.9896e-01 +3.1383e+00 -3.1100e+00 +2.2427e+00 -3.7063e+00 +2.0095e+00 +2.2373e+00 -4.9118e-02 +1.3796e+00 -1.4889e-01 -2.8829e-01 +1.7686e+00 +2.7119e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.990919844e+03 +2.990919844e+03 +2.987209844e+03 +2.987209844e+03 +9.0646e-01 -3.1593e+00 +3.7841e-01 -2.1592e-01 +4.1651e+00 -1.2016e+00 -3.4799e-01 -2.4066e+00 +3.3476e-01 -9.3947e-01 -1.6709e+00 +2.6710e+00 -3.8377e+00 +2.1374e+00 +1.6157e+00 +3.6886e+00 -3.2764e+00 -3.4855e+00 -4.0972e+00 +1.4221e+00
4 +2.009548033e+03 +2.009548033e+03 +2.005838033e+03 +2.005838033e+03 +3.7357e+00 -1.8064e+00 -1.8554e+00 -2.5425e+00 -2.1588e+00 -2.1164e+00 -4.6593e+00 +5.7865e-01 -3.0079e+00 +2.5560e+00 -3.1016e+00 -6.0806e-02 -1.0039e+00 -1.5974e-02 +8.0609e-01 +1.2891e+00 -2.3310e+00 -2.5070e+00 +2.3829e-01 +4.9806e+00
