% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.226362375e+02 +1.226362375e+02 +1.056962375e+02 +1.056962375e+02 -1.0747e+00 +9.7711e-01 -4.4885e+00 -9.9794e-01 +1.0302e+00 +2.2761e+00 +3.1219e+00 -1.5154e+00 +3.9897e+00 +1.9897e+00 -3.2563e+00 +1.6984e+00 +5.5494e-01 +1.9423e+00 +1.4681e+00 +2.4544e+00 +2.9357e+00 +9.3910e-02 +3.5998e+00 -4.5611e+00
5 +9.141903336e+01 +9.141903336e+01 +7.447903336e+01 +7.447903336e+01 -2.5915e+00 -1.2900e+00 +9.0199e-01 +3.0066e+00 +4.7254e+00 +4.4650e+00 -2.8034e+00 -1.4889e+00 -2.2127e+00 -2.4785e+00 +2.8119e+00 +1.6622e+00 -2.1771e+00 +8.5127e-01 +3.7954e+00 +2.8569e+00 +3.9977e+00 +3.0471e+00 -7.1658e-01 -4.5792e+00
46 +6.117162191e+01 +6.117162191e+01 +4.423162191e+01 +4.423162191e+01 -2.4102e+00 -3.0775e+00 -5.4512e-01 -3.3900e+00 +4.6990e+00 +4.4665e+00 +4.0197e+00 +2.4521e+00 -1.0379e+00 -1.6303e+00 +3.5764e+00 +1.8867e+00 +2.3493e+00 +1.5513e-01 +1.1173e+00 +1.1470e-01 +3.4124e+00 +3.1699e+00 -2.1428e+00 -8.6901e-01
224 +3.938963614e+01 +3.938963614e+01 +2.244963614e+01 +2.244963614e+01 -1.2939e+00 +1.1535e+00 +7.3748e-01 +2.8251e-01 +3.0177e+00 +9.3466e-01 +2.0510e-01 -6.5774e-01 -1.8951e+00 -1.5420e+00 +1.1918e+00 +2.3801e+00 -3.9177e+00 +6.5453e-01 +1.3011e+00 +1.3386e+00 +3.5686e+00 +1.9424e+00 -7.7055e-01 -3.9381e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.874552039e+02 +2.874552039e+02 +3.062652039e+02 +3.062652039e+02 -2.9045e-01 +4.1467e+00 -4.9223e+00 -4.5434e+00 +2.0509e+00 +2.4452e+00 +2.3568e+00 +1.6751e+00 -1.7135e+00 +1.1179e+00 -3.1365e+00 -2.7672e+00 -2.3476e+00 +2.2327e+00 -2.9753e+00 +3.6119e+00 +4.2713e+00 -2.8418e+00 -4.8848e+00 -2.0180e+00
2 +8.332729964e+01 +8.332729964e+01 +1.021372996e+02 +1.021372996e+02 -4.2328e+00 -1.9227e+00 -2.6026e+00 -2.0780e+00 +3.3660e+00 -1.7240e+00 +1.4781e+00 +2.0854e+00 +2.2399e+00 +4.8940e+00 +1.5755e+00 -9.3175e-01 +5.3558e-02 +2.4539e+00 +3.1291e+00 +4.5329e+00 +3.4874e+00 -1.8229e+00 -2.4235e+00 +3.1643e+00
6 +5.562284511e+01 +5.562284511e+01 +7.443284511e+01 +7.443284511e+01 +2.8290e+00 +2.8076e+00 +3.9554e+00 -2.0246e+00 -3.1965e+00 -4.8762e+00 +2.8666e+00 +1.7308e+00 -3.0234e+00 +1.7451e+00 -3.3644e+00 +3.3666e+00 -2.3583e+00 +3.4283e+00 -3.6637e+00 -1.2167e+00 +2.1999e+00 +4.9660e+00 +1.9356e-02 +1.9683e+00
58 +3.796279005e+01 +3.796279005e+01 +5.677279005e+01 +5.677279005e+01 -2.9418e-01 +1.4012e+00 +1.4421e+00 -1.9328e+00 -2.0094e+00 -4.3956e+00 +8.4757e-01 +2.7398e+00 -2.4834e+00 +1.7529e+00 -4.7871e-01 +3.4220e+00 +3.0631e-01 +3.7255e+00 -1.9752e+00 -1.4699e+00 +5.0623e-02 +2.4378e+00 +5.2190e-01 +2.0917e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.327749642e+02 +4.327749642e+02 +7.059249642e+02 +7.059249642e+02 +2.4404e+00 +1.7006e+00 +3.5200e+00 +4.1768e-01 -3.3114e+00 -4.3418e+00 -4.8005e+00 +3.8003e+00 +2.7093e+00 +3.8711e+00 -4.5853e+00 +8.5856e-01 -4.3828e+00 -3.7012e+00 +4.7274e+00 +2.0837e+00 -2.6006e+00 -4.6484e+00 -6.6699e-01 +1.4251e-01
7 +2.663288310e+02 +2.663288310e+02 +5.394788310e+02 +5.394788310e+02 +4.7629e+00 -3.6855e+00 -1.6412e+00 -3.8347e+00 -1.4369e-02 -4.7093e+00 +2.0473e+00 -2.9344e-01 +1.8375e+00 +4.0503e+00 -2.6675e+00 -2.2153e+00 +9.5786e-01 -1.4895e-01 +3.1594e+00 +2.9269e+00 -2.2090e+00 -1.4160e+00 -1.9778e+00 -4.2724e+00
8 +2.214599465e+02 +2.214599465e+02 +4.946099465e+02 +4.946099465e+02 -1.0551e+00 -6.0263e-01 -3.3594e+00 +1.2008e+00 -2.8922e+00 +1.4475e+00 +3.2396e+00 +2.4501e+00 -1.5346e+00 +3.7880e+00 -2.8241e+00 +1.1215e+00 +4.1436e+00 -4.1134e+00 -1.7673e+00 +3.5898e-01 -4.9649e+00 +2.7248e+00 -4.1886e+00 -3.6635e+00
21 +9.571279667e+01 +9.571279667e+01 +3.688627967e+02 +3.688627967e+02 -4.9237e+00 +2.7567e+00 -3.8633e+00 -1.7860e+00 -6.0029e-01 +4.0789e+00 +2.5761e+00 -1.0924e+00 +2.3959e-01 +4.0160e+00 +4.7504e+00 -1.6813e+00 +2.8787e-01 -3.3831e+00 -2.1302e+00 -1.4310e+00 +4.8430e+00 +6.4030e-02 -1.7683e+00 -1.6533e+00
125 +5.181059593e+01 +5.181059593e+01 +3.249605959e+02 +3.249605959e+02 -2.7834e+00 +9.8745e-01 -2.4790e+00 +7.5471e-01 +3.0333e-01 +1.7075e+00 +6.9407e-01 +4.3740e-02 -2.5215e-01 +2.3445e+00 +3.6988e+00 -1.5484e+00 +1.1866e-01 -3.0495e+00 +3.4935e-01 -3.0432e+00 +4.3995e+00 -4.1285e-01 -1.1649e+00 -1.8696e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.123384802e+02 +1.123384802e+02 +1.495184802e+02 +1.495184802e+02 -2.8537e+00 -3.9142e+00 +9.5362e-01 +1.4736e-01 -2.8450e+00 +3.0468e-01 +1.6523e+00 +1.6214e+00 -3.6773e+00 +5.7613e-01 -2.8202e+00 +2.9936e+00 -1.7771e+00 +2.7514e+00 -2.5711e+00 -3.3066e+00 -3.9657e+00 -4.0872e+00 +2.3484e+00 +3.4714e+00
