% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
42 +8.915013241e+00 +8.915013241e+00 +2.820650132e+02 +2.820650132e+02 -3.6529e+00 +1.4648e+00 -2.6735e+00 +3.4606e+00 +2.8143e+00 -1.8304e+00 +1.3199e+00 -5.1310e-01 -4.0930e+00 +1.4898e+00 -1.7806e+00 +2.9177e+00 +2.8431e+00 -1.9174e+00 +3.5040e+00 -2.9480e+00 +4.4282e+00 -1.3876e+00 -4.7103e-01 -2.4877e+00
193 +6.263601205e+00 +6.263601205e+00 +2.794136012e+02 +2.794136012e+02 -3.7708e+00 +1.4652e+00 -2.0495e+00 +3.1915e+00 +2.4716e+00 -3.3956e+00 +1.4648e+00 -8.4022e-01 -1.2596e+00 +2.2186e+00 -1.1451e+00 +3.0908e+00 +1.3507e+00 -1.3149e+00 +2.6512e+00 -2.3710e+00 +4.1499e+00 -1.1199e+00 +1.1645e+00 -1.5758e+00
806 +3.980843494e+00 +3.980843494e+00 +2.771308435e+02 +2.771308435e+02 -3.6287e+00 +1.4057e+00 -2.1764e+00 +3.0795e+00 +2.4607e+00 -3.3239e+00 +1.1203e+00 -9.2690e-01 -1.3161e+00 +2.3307e+00 -1.1116e+00 +3.0493e+00 +9.7045e-01 -1.2913e+00 +2.8283e+00 -2.4861e+00 +4.1579e+00 -1.8601e+00 +1.1229e+00 -1.6677e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.931527254e+01 +1.931527254e+01 +5.649527254e+01 +5.649527254e+01 +3.8196e+00 -3.6128e+00 -2.3922e+00 -2.9348e+00 -4.4620e+00 +1.0219e+00 -5.8882e-01 -3.5419e+00 +1.2903e+00 -3.7454e-01 +1.9207e+00 +4.2510e+00 -1.8131e+00 -2.1326e+00 +1.4225e+00 +3.7009e+00 +1.6547e+00 +4.3596e+00 -3.5038e+00 -2.2184e-01
40 +1.409209896e+01 +1.409209896e+01 +5.127209896e+01 +5.127209896e+01 -2.7607e-01 -3.0285e+00 -3.3652e+00 -2.1437e+00 +3.3079e+00 -5.2923e-01 +1.3308e+00 +2.0430e+00 -1.3161e+00 +2.2409e+00 +2.1687e+00 +1.7666e+00 -3.5303e-01 -4.1565e+00 +3.8542e+00 +4.6348e+00 +1.3095e+00 -3.3846e-01 -1.4036e+00 -1.7249e+00
121 +8.189687926e+00 +8.189687926e+00 +4.536968793e+01 +4.536968793e+01 +7.0299e-01 -3.1253e-02 -1.9303e+00 -2.3457e+00 -8.8027e-01 +2.2055e+00 +5.7937e-01 -4.9633e-01 -1.1638e+00 +1.7179e+00 +2.2401e+00 +7.9179e-01 -1.0195e+00 -2.7905e+00 +3.1373e+00 +3.2721e+00 +1.2262e+00 -8.8706e-02 +2.9606e-01 -2.6658e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.145280541e+01 +2.145280541e+01 -1.264471946e+02 -1.264471946e+02 +2.1505e+00 -2.9772e+00 -3.9256e+00 +3.5766e+00 -2.1265e+00 -1.3798e+00 +4.2662e+00 +4.7872e+00 +1.3662e+00 +3.5998e+00 -3.6637e+00 -4.9808e+00 +2.8645e+00 +2.5799e+00 -8.7149e-01 +1.3867e+00 +3.5894e+00 -1.4559e-01 -4.2620e+00 -2.2678e+00
2 +1.367511598e+01 +1.367511598e+01 -1.342248840e+02 -1.342248840e+02 -3.1090e+00 +3.3603e+00 +5.0462e-01 -1.6785e+00 -3.3749e+00 +4.3181e-01 -3.0618e+00 -1.0278e+00 -1.0056e+00 +4.1790e+00 +1.5372e+00 -3.3586e+00 +2.7135e+00 -1.9677e+00 +6.2396e-01 +2.3435e+00 +8.5517e-01 -1.8821e+00 +5.5664e-01 -4.3453e+00
