% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +9.188714713e+06 +9.188714713e+06 +9.188635993e+06 +9.188635993e+06 -9.9925e-01 +1.3150e+00 +1.1912e+00
4 +4.540370862e+05 +4.540370862e+05 +4.539583662e+05 +4.539583662e+05 -1.5784e+00 +3.6828e+00 -3.8939e+00
5 +1.040216807e+05 +1.040216807e+05 +1.039429607e+05 +1.039429607e+05 +1.5663e+00 -2.3229e+00 -1.1625e+00
22 +1.542553735e+04 +1.542553735e+04 +1.534681735e+04 +1.534681735e+04 -4.8916e+00 +3.6277e+00 -3.4852e+00
56 +4.626398731e+03 +4.626398731e+03 +4.547678731e+03 +4.547678731e+03 -2.3580e+00 +1.2690e+00 -2.5898e+00
105 +3.682650214e+03 +3.682650214e+03 +3.603930214e+03 +3.603930214e+03 -6.9311e-01 +1.3047e+00 -2.9547e+00
107 +1.138979208e+03 +1.138979208e+03 +1.060259208e+03 +1.060259208e+03 +1.0700e+00 +1.2837e+00 -3.6094e+00
139 +3.676953338e+02 +3.676953338e+02 +2.889753338e+02 +2.889753338e+02 +9.0699e-01 +9.8982e-01 -3.2981e+00
179 +6.929489138e+01 +6.929489138e+01 -9.425108622e+00 -9.425108622e+00 +9.5234e-01 +9.8982e-01 -3.2981e+00
195 +4.937933751e+01 +4.937933751e+01 -2.934066249e+01 -2.934066249e+01 -2.1868e+00 +1.6227e+00 -2.8316e+00
197 +3.085420363e+01 +3.085420363e+01 -4.786579637e+01 -4.786579637e+01 +7.6098e-01 +1.1206e+00 -3.3408e+00
203 +1.561476906e+01 +1.561476906e+01 -6.310523094e+01 -6.310523094e+01 +6.0120e-01 +1.1206e+00 -3.2863e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.452047027e+06 +1.452047027e+06 +1.451047027e+06 +1.451047027e+06 +4.1602e+00 +4.9278e+00 +3.8015e+00
5 +5.015498763e+05 +5.015498763e+05 +5.005498763e+05 +5.005498763e+05 +1.7681e+00 +3.4719e+00 +1.3359e+00
