% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
160 +8.287477653e+01 +8.287477653e+01 +1.382147765e+02 +1.382147765e+02 -7.7995e-01 -2.7416e-02 -3.6520e-01 +2.5919e-01 +6.9629e-01
162 +5.521330610e+01 +5.521330610e+01 +1.105533061e+02 +1.105533061e+02 -5.1979e-01 -2.0207e-02 -2.6416e-01 +4.3936e-01 +1.3233e+00
163 +3.812596096e+01 +3.812596096e+01 +9.346596096e+01 +9.346596096e+01 -9.4746e-01 +5.1319e-02 -3.6328e-01 +4.6425e-01 +1.3743e+00
270 +2.404402655e+01 +2.404402655e+01 +7.938402655e+01 +7.938402655e+01 -9.5789e-01 +5.3297e-02 -4.1458e-01 +6.3723e-01 +1.4726e+00
370 +1.361008928e+01 +1.361008928e+01 +6.895008928e+01 +6.895008928e+01 -8.5476e-01 +6.0406e-04 -4.1215e-01 +6.1539e-01 +1.4252e+00
907 +9.620810293e+00 +9.620810293e+00 +6.496081029e+01 +6.496081029e+01 -8.4821e-01 -2.3340e-02 -4.1258e-01 +5.7120e-01 +1.4239e+00
% function evaluation | noise-free fitness - Fopt (-9.033000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.631882481e+05 +1.631882481e+05 +1.630979181e+05 +1.630979181e+05 +3.6053e+00 +2.2022e+00 -1.1743e+00 -4.0081e+00 +3.6209e+00
2 +8.256088408e+04 +8.256088408e+04 +8.247055408e+04 +8.247055408e+04 +3.4301e+00 -1.3594e-01 -1.2172e+00 -3.5428e-02 -4.8314e+00
4 +2.347312169e+04 +2.347312169e+04 +2.338279169e+04 +2.338279169e+04 +1.2519e+00 -3.3181e+00 +1.3977e+00 -2.9582e+00 -3.1252e+00
5 +2.098096417e+02 +2.098096417e+02 +1.194796417e+02 +1.194796417e+02 +6.9396e-01 +9.5682e-01 -2.7051e-01 -7.1769e-01 -3.4417e-01
82 +7.795909533e+01 +7.795909533e+01 -1.237090467e+01 -1.237090467e+01 -6.8613e-01 +4.7060e-01 -2.9059e-01 +9.4993e-01 -8.8281e-01
137 +4.902818162e+01 +4.902818162e+01 -4.130181838e+01 -4.130181838e+01 +9.6555e-03 +4.3714e-01 +3.6229e-02 -2.7433e-01 +1.7674e-02
178 +2.921902319e+01 +2.921902319e+01 -6.111097681e+01 -6.111097681e+01 -1.6222e-02 -2.4247e-01 +1.4007e-01 +8.9586e-02 +1.4621e-02
201 +2.182259399e+01 +2.182259399e+01 -6.850740601e+01 -6.850740601e+01 +4.3097e-02 -6.0624e-02 +4.7840e-02 +1.0381e-01 +3.1701e-02
251 +1.515310362e+01 +1.515310362e+01 -7.517689638e+01 -7.517689638e+01 +1.2240e-01 -1.8529e-01 +3.2436e-02 +3.2577e-02 +5.0735e-03
2352 +9.016871099e+00 +9.016871099e+00 -8.131312890e+01 -8.131312890e+01 +3.3831e-01 -2.4180e-01 +2.7541e-02 +5.0810e-02 +1.1241e-02
% function evaluation | noise-free fitness - Fopt (6.561000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.752079645e+05 +3.752079645e+05 +3.752735745e+05 +3.752735745e+05 -4.8073e+00 +3.9469e+00 -4.8624e+00 +4.9745e+00 +1.9337e+00
2 +6.383587345e+04 +6.383587345e+04 +6.390148345e+04 +6.390148345e+04 +1.1745e+00 +3.3121e+00 -1.2533e+00 -1.8529e+00 +3.6305e+00
3 +3.599111458e+04 +3.599111458e+04 +3.605672458e+04 +3.605672458e+04 +3.2467e+00 -1.5875e+00 +4.1398e+00 +1.3139e+00 +8.2555e-01
8 +2.146387983e+04 +2.146387983e+04 +2.152948983e+04 +2.152948983e+04 +2.8211e+00 +2.6270e+00 +1.0486e+00 +2.7426e+00 -2.0513e+00
11 +5.137448453e+03 +5.137448453e+03 +5.203058453e+03 +5.203058453e+03 +1.7371e+00 +9.3091e-01 -5.2757e-02 +3.0766e+00 +8.9532e-01
47 +1.819542964e+03 +1.819542964e+03 +1.885152964e+03 +1.885152964e+03 -1.2508e+00 -5.1019e-01 -2.7649e+00 +3.5506e-01 +7.8111e-01
55 +3.356289215e+02 +3.356289215e+02 +4.012389215e+02 +4.012389215e+02 +1.4916e+00 +1.5802e-01 +4.9520e-01 +8.6521e-01 +1.2451e+00
64 +9.918544049e+01 +9.918544049e+01 +1.647954405e+02 +1.647954405e+02 -7.2899e-02 +6.7228e-01 +6.7127e-01 +2.4206e-01 +5.7702e-01
127 +5.981206040e+01 +5.981206040e+01 +1.254220604e+02 +1.254220604e+02 +1.3524e-01 +8.4857e-01 +6.5918e-01 +3.4401e-01 +4.3539e-01
