% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.301860961e+05 +8.301860961e+05 +8.302847161e+05 +8.302847161e+05 -3.8225e+00 -2.2180e+00 +2.3923e+00 +3.9606e+00 -2.0788e+00 -2.8897e+00 -4.9114e+00 -1.7248e+00 +4.5485e+00 -3.8854e+00
2 +1.309410728e+05 +1.309410728e+05 +1.310396928e+05 +1.310396928e+05 -4.8342e+00 +2.0904e+00 +1.3205e+00 -2.3786e-01 +4.0867e+00 +2.9326e+00 -9.8630e-01 -4.7359e+00 +1.7943e+00 +3.5037e+00
4 +7.841564158e+04 +7.841564158e+04 +7.851426158e+04 +7.851426158e+04 -3.9921e+00 +1.8606e+00 +3.8985e+00 -4.0447e+00 -4.4592e+00 +3.4304e+00 -1.4709e+00 -3.4153e-02 -3.1924e+00 +4.3417e+00
16 +4.144168318e+04 +4.144168318e+04 +4.154030318e+04 +4.154030318e+04 -4.4931e+00 +2.4762e-01 +4.2069e+00 -3.7303e+00 +3.4757e+00 -1.7947e+00 -2.8156e+00 -3.2382e+00 -2.7483e+00 -4.4319e+00
44 +1.059977828e+04 +1.059977828e+04 +1.069839828e+04 +1.069839828e+04 -4.0399e+00 +4.5721e-01 +4.0020e+00 -4.0180e+00 -1.7963e+00 +9.0971e-01 -1.7510e+00 -3.1361e+00 -2.8838e+00 +3.3073e+00
63 +4.782344503e+03 +4.782344503e+03 +4.880964503e+03 +4.880964503e+03 -4.5088e+00 -4.3401e-01 +2.8473e+00 -3.4079e+00 -2.0514e-01 +4.2287e-01 -8.8840e-01 -2.4218e+00 -4.4147e+00 -1.2735e+00
102 +3.800059340e+03 +3.800059340e+03 +3.898679340e+03 +3.898679340e+03 -4.1825e+00 +2.0816e-01 +3.0987e+00 -1.7728e+00 +2.8117e-01 -3.4237e-01 -7.3968e-01 -2.5129e+00 -3.9738e+00 -1.5579e+00
127 +1.915798040e+03 +1.915798040e+03 +2.014418040e+03 +2.014418040e+03 -2.8162e+00 -4.6184e-01 +3.0897e+00 -3.5800e+00 -6.2176e-01 +5.3857e-01 -7.5244e-01 -2.3340e+00 -3.3096e+00 -1.8293e+00
138 +8.972230911e+02 +8.972230911e+02 +9.958430911e+02 +9.958430911e+02 -2.8344e+00 -9.7942e-01 +2.3585e+00 -3.6206e+00 -3.9901e-01 +1.3844e-01 -1.1090e+00 -2.6983e+00 -2.5635e+00 -2.1651e+00
241 +5.267301543e+02 +5.267301543e+02 +6.253501543e+02 +6.253501543e+02 -3.1136e+00 -9.6713e-01 +2.4236e+00 -3.4395e+00 -4.8551e-01 +1.5013e-01 -1.2375e+00 -2.6103e+00 -2.9823e+00 -1.8620e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.810932105e+05 +1.810932105e+05 +1.810460605e+05 +1.810460605e+05 -4.7242e+00 +1.8528e+00 -4.8417e+00 +2.5200e+00 -2.8934e+00 -2.2617e+00 -1.5067e-01 -2.9656e+00 -8.1494e-01 -2.6387e+00
2 +4.777540309e+04 +4.777540309e+04 +4.772825309e+04 +4.772825309e+04 -3.5787e+00 +1.9948e+00 +2.1392e+00 -1.3817e-01 +1.4395e-01 +2.6902e-01 -4.9342e+00 -2.6987e+00 -2.8110e+00 -2.1267e+00
44 +1.505406204e+04 +1.505406204e+04 +1.500691204e+04 +1.500691204e+04 -2.2524e+00 +1.6451e+00 -1.0828e+00 -1.1647e+00 +1.1354e+00 +1.9285e+00 -3.9832e+00 -2.7785e+00 -2.9852e+00 -6.0597e-01
139 +9.969843531e+03 +9.969843531e+03 +9.922693531e+03 +9.922693531e+03 -1.9748e+00 -2.2779e+00 +9.1487e-01 -1.5326e+00 -4.4365e-01 +1.5445e-01 -4.6680e+00 -1.5449e+00 -1.1939e+00 -2.0058e+00
